id,Type,Region,Region1,tags.power,tags.voltage,tags.name,tags.circuits,tags.frequency,tags.source,tags.source1,x1,y1,x2,y2,DC,status,notes
0,way,MY,SG,line,275000,Plentong - Woodlands,3,50,ASEAN 2023,,103.806467799999,1.48064260000001,103.810604036892,1.46223677232137,FALSE,Existing,
1,way,SG,ID,line,500000,Singapore – Batam,1,0,ASEAN 2023,,103.637291375797,1.28833972616484,103.963705355636,1.09530083842483,TRUE,TBC,No Line in Singapore. Centered  coordinates to Singapore.
2,way,TH,MY,line,132000,Su Ngai Kolok - Rantau Panjang,3,50,ASEAN 2023,,101.91534665681,6.0247187026905,101.992135,6.0040656,FALSE,TBC,The distance between them is less than 10 km. But needs to be connected to be safe
3,way,MY,MY,line,500000,Sarawak - P Malaysia,1,0,ASEAN 2023,,110.147616955645,1.46328261976877,104.220887629619,1.38449681566459,TRUE,TBC,city not defined. Finding the closes line in the network
4,way,MY,ID,line,500000,P Malaysia - Sumatra,1,0,ASEAN 2023,ESDM 2020,102.152743506013,2.22214916815873,101.550842493986,0.659303931841225,TRUE,TBC,Connecting Malacca City to Pekanbaru according to RUPLTN
5,way,PH,MY,line,500000,Philipines - Sabah,1,0,ASEAN 2023,NGCP 2020,117.836627309331,8.7699021841352,116.813905103065,6.90131237100726,TRUE,TBC,City are not defined. Connect Sabah to Manilla. This must be an HVDC line because of the frequency differences.
6,way,MY,BN,line,275000,Sarawak - Brunei,3,50,ASEAN 2023,,114.0348144,4.47912929999998,114.208349200175,4.5774841691729,FALSE,2021,Getting the closes line inspite of the large line voltage difference
7,way,MY,MY,line,275000,Sarawak - Sabah,1,50,ASEAN 2023,ECOS 2023,115.418674404065,4.8656596976753,115.534031863192,5.00983896986369,FALSE,2022,Its the closes line in the land 
8,way,LA,VN,line,220000,Nam Mo - Ban Ve,2,50,ASEAN 2023,ERIA 2015,104.000413125825,19.0415727404636,104.483676599999,19.3347282999999,FALSE,TBC,Assuming this is Nam Mo 2 hydroelectric plant the plant is still under construction. They dont seem to connect to the Laos grid. Its a Laos hydropower to solely supply Vietnam electricity demand.
9,way,LA,VN,line,230000,Naro Kami - Thanh Hoa,2,50,ASEAN 2023,ERIA 2015 ,104.650692299999,20.0078986999999,105.158255005719,19.9335031502454,FALSE,TBC,This is part of the connection from Luang Prabang - Nho Quan
10,way,TH,MM,line,115000,Thailand - Myanmar,3,50,ASEAN 2023,,98.5998028000001,16.719103,98.4546143540954,16.7051433570708,FALSE,TBC,There is this almost connection between Thailand and Myanmar
11,way,VN,KH,line,230000,Tay Ninh – Thoung Khmum,2,50,ASEAN 2023,,106.017102156526,11.5535286304811,105.733506799999,11.8991324,FALSE,TBC,Compromise to the closest line between the network in that area.
12,way,TH,KH,line,115000,Thailand – Cambodia,2,50,ASEAN 2023,,102.241515318107,13.769628622839,102.641098281892,13.7181740771609,FALSE,TBC,This is the extension from Aranyapathet (TH) to Poipet (KH)
13,way,MY,ID,line,150000,East Sabah – Sebuku,2,50,ASEAN 2023,,117.937128281206,4.27219250492365,116.988477925705,4.08909821379513,FALSE,TBC,North Kalimantan is has almost no transmission grid But the main Idea of this network is to connect Sabah to Samarinda the capital of east kalimantan
14,way,LA,MM,line,115000,M. Long – Shan State,1,50,ASEAN 2023,,101.678271699999,21.1802788999999,99.6752850922466,21.2591984062962,FALSE,2025,Long is not directly represented in the OSM network. This line in Laos is chosen as a compromise
15,way,ID,ID,line,500000,Kalimantan - Java,1,0,ASEAN 2023,,114.626519046766,-3.42367625140773,112.659760653233,-7.16485554859217,TRUE,TBC,city not defined. Connecting Banjarmasin to Surabaya
16,way,ID,ID,line,500000,Sumatra - Java,1,0,ASEAN 2023,,105.781125804611,-5.72816587076548,106.031278295388,-5.89596912923448,TRUE,TBC,city not defined. Connecting Bandar Lampung with Cilegon
